source_mat_id_orig,samp_description,samp_collect_device,tax_id,scientific_name,investigation_type,env_material,deployment_date,collection_date,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,arms_unit_id,rep_check,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON Toralla JTA ARMS 210701 211009 SF (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaA_Ha_210701_211009,,DESS,,,12,1,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTA,,batch_3.2,,,,EMOBON_EMT21_Ha_1
EMO BON Toralla JTA ARMS 210701 211009 SF (2),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaA_Ha_210701_211009,,DESS,,,12,2,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTA,,batch_3.2,,,,EMOBON_EMT21_Ha_2
EMO BON Toralla JTA ARMS 210701 211009 SF (3),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaA_Ha_210701_211009,,DESS,,,12,3,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTA,,batch_3.2,,,,EMOBON_EMT21_Ha_3
EMO BON Toralla JTB ARMS 210701 211009 SF (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaB_Ha_210701_211009,,DESS,,,12,1,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTB,,batch_3.2,,,,EMOBON_EMT21_Ha_4
EMO BON Toralla JTB ARMS 210701 211009 SF (2),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaB_Ha_210701_211009,,DESS,,,12,2,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTB,,batch_3.2,,,,EMOBON_EMT21_Ha_5
EMO BON Toralla JTC ARMS 210701 211009 SF (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaC_Ha_210701_211009,,DESS,,,12,1,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTC,,batch_3.2,,,,EMOBON_EMT21_Ha_6
EMO BON Toralla JTC ARMS 210701 211009 SF (2),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaC_Ha_210701_211009,,DESS,,,12,2,SF,,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTC,,batch_3.2,,,,EMOBON_EMT21_Ha_7
EMO BON Toralla JTA ARMS 210701 211009 MF500 (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaA_Ha_210701_211009,,DESS,,,12,1,MF,500,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTA,,batch_3.2,,,,EMOBON_EMT21_Ha_8
EMO BON Toralla JTA ARMS 210701 211009 MF100 (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaA_Ha_210701_211009,,DESS,,,12,1,MF,100,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTA,,batch_3.2,,,,EMOBON_EMT21_Ha_9
EMO BON Toralla JTB ARMS 210701 211009 MF500 (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaB_Ha_210701_211009,,DESS,,,12,1,MF,500,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTB,,batch_3.2,,,,EMOBON_EMT21_Ha_10
